Stop ID	Location	Boardings
16719	Turk & Jones NW	38
17301	O'Farrell & Taylor	212
TBD	Larkin / Leavenworth?? Not a stop	Not a stop
14867	Leavenworth & O'Farrell SE	138
15814	O'Farrell & Leavenworth SE	65
16718	Turk & Hyde	50
15087	Hyde st &Turk St NW-NS/BZ	138
16720	Turk st &Levenworth NW-FS/BZ	51
14490	Eddy & Polk SE	56
13612	5th St WS 61ft S/O Eddy St F/N - 1 (Cyril Magnin St & Market St)	10
13611	5th St ES 109ft N/O Market St F/S - 1	Unused stop
15694	Market St NS 20ft E/O Stockton St F/ - 1	5 (non-acc. stop)
15542	Mission St SS 90ft E/O 9th St F/W - 1	215
15683	Market St NS 20ft E/O Taylor St F/E - 1 9Market St & Mason St)	57
15648	Market St SS 450ft W/O 6th St F/W - 1 (Market St, between 7th & 6th sts)	49
15656	Market St NS 20ft E/O 7th St F/ - 1	26 (non-acc. stop)
15676	Market St NS 20ft E/O Hyde St F/ - 1	9
15536	Mission St NS 135ft W/O 5th St F/E - 1	294
15534	Mission St NS 75ft W/O 4th St F/E - 1	303
15641	Market St SS 186ft E/O 3rd St F/W - 1	224
13245	11th St WS 117ft S/O Market St F/N - 1	36
15528	Mission St NS 27ft E/O 1st St F/E - 1	99
13196	Charles P. Brennan Pl ES 20ft N/O Market St F/S - 1 (7th and Market)	184
15535	Mission St SS 26ft W/O 5th St F/W - 1	No data avail.
15682	Market St SS 20ft W/O Main St F/ - 1	2
15695	Market St NS 20ft E/O Taylor St F/ - 1	22 (non-acc. stop)
15674	Market St NS 148ft W/O Grant St F/E - 1	38
15696	Market St NS 20ft E/O Van Ness Ave F/ - 1	78
15397	McAllister St & Larkin St	34
17287	Larkin St & McAllister St	35
13160	4th St & Mission St	6
